lon;lat;UTC;Year;Month;Day;Hour;Minute;UnitID
-66.34384;77.65777;2022-06-27 17:32:09;2022;6;27;17;32;88463
-66.34363;77.65775;2022-06-27 17:02:19;2022;6;27;17;2;88463
-66.34372;77.65781;2022-06-27 16:32:36;2022;6;27;16;32;88463
-66.34388;77.65775;2022-06-27 16:02:09;2022;6;27;16;2;88463
-66.34307;77.65769;2022-06-27 16:01:17;2022;6;27;16;1;88463
-66.3437;77.65756;2022-06-27 16:00:08;2022;6;27;16;0;88463
-66.34216;77.65809;2022-06-27 15:30:10;2022;6;27;15;30;88463
-66.34178;77.65802;2022-06-27 15:00:08;2022;6;27;15;0;88463
-66.34414;77.65828;2022-06-27 14:30:07;2022;6;27;14;30;88463
-66.34321;77.65777;2022-06-27 14:00:08;2022;6;27;14;0;88463
-66.34338;77.6579;2022-06-27 13:30:07;2022;6;27;13;30;88463
-66.34338;77.65794;2022-06-27 13:00:11;2022;6;27;13;0;88463
-66.34319;77.65794;2022-06-27 12:30:10;2022;6;27;12;30;88463
-66.34369;77.65781;2022-06-27 12:00:08;2022;6;27;12;0;88463
-66.34411;77.65778;2022-06-27 11:30:08;2022;6;27;11;30;88463
-66.34359;77.65781;2022-06-27 11:00:36;2022;6;27;11;0;88463
-66.34387;77.65782;2022-06-27 10:30:11;2022;6;27;10;30;88463
-66.34407;77.65775;2022-06-27 10:00:10;2022;6;27;10;0;88463
-66.34359;77.65778;2022-06-27 09:30:08;2022;6;27;9;30;88463
-66.343;77.65861;2022-06-27 09:00:19;2022;6;27;9;0;88463
-66.34303;77.65778;2022-06-27 08:30:19;2022;6;27;8;30;88463
-66.34448;77.65794;2022-06-27 08:00:09;2022;6;27;8;0;88463
-66.33479;77.65893;2022-06-27 07:30:08;2022;6;27;7;30;88463
-66.34222;77.65781;2022-06-27 07:00:12;2022;6;27;7;0;88463
-66.34138;77.65778;2022-06-27 06:30:09;2022;6;27;6;30;88463
-66.34425;77.65722;2022-06-27 06:00:19;2022;6;27;6;0;88463
-66.34332;77.65792;2022-06-27 05:30:09;2022;6;27;5;30;88463
-66.34351;77.65791;2022-06-27 05:00:09;2022;6;27;5;0;88463
-66.34296;77.65792;2022-06-26 23:30:20;2022;6;26;23;30;88463
-66.34317;77.65783;2022-06-26 23:00:08;2022;6;26;23;0;88463
-66.34346;77.65778;2022-06-26 22:30:08;2022;6;26;22;30;88463
-66.34361;77.65783;2022-06-26 22:00:08;2022;6;26;22;0;88463
-66.34361;77.65786;2022-06-26 21:30:08;2022;6;26;21;30;88463
-66.34332;77.65824;2022-06-26 21:00:30;2022;6;26;21;0;88463
-66.34119;77.65798;2022-06-26 20:30:10;2022;6;26;20;30;88463
-66.34363;77.6579;2022-06-26 20:00:20;2022;6;26;20;0;88463
-66.34414;77.65781;2022-06-26 19:30:09;2022;6;26;19;30;88463
-66.34431;77.65773;2022-06-26 19:00:20;2022;6;26;19;0;88463
-66.34391;77.65786;2022-06-26 18:30:09;2022;6;26;18;30;88463
-66.34351;77.65782;2022-06-26 18:00:08;2022;6;26;18;0;88463
-66.34359;77.65783;2022-06-26 17:30:09;2022;6;26;17;30;88463
-66.34344;77.65782;2022-06-26 17:00:08;2022;6;26;17;0;88463
-66.34382;77.65783;2022-06-26 16:30:08;2022;6;26;16;30;88463
-66.34344;77.65783;2022-06-26 16:00:36;2022;6;26;16;0;88463
-66.34378;77.65779;2022-06-26 15:30:18;2022;6;26;15;30;88463
-66.34246;77.65756;2022-06-26 15:00:19;2022;6;26;15;0;88463
-66.34468;77.65792;2022-06-26 14:30:09;2022;6;26;14;30;88463
-66.34476;77.65786;2022-06-26 14:00:07;2022;6;26;14;0;88463
-66.34393;77.65794;2022-06-26 13:30:07;2022;6;26;13;30;88463
-66.34414;77.65794;2022-06-26 13:00:07;2022;6;26;13;0;88463
-66.34351;77.65786;2022-06-26 12:30:08;2022;6;26;12;30;88463
-66.34335;77.65786;2022-06-26 12:00:09;2022;6;26;12;0;88463
-66.34323;77.65781;2022-06-26 11:30:08;2022;6;26;11;30;88463
-66.34322;77.65777;2022-06-26 11:00:08;2022;6;26;11;0;88463
-66.34321;77.65783;2022-06-26 10:30:08;2022;6;26;10;30;88463
-66.34319;77.65782;2022-06-26 10:00:36;2022;6;26;10;0;88463
-66.34239;77.6576;2022-06-26 09:30:21;2022;6;26;9;30;88463
-66.34277;77.65771;2022-06-26 09:00:10;2022;6;26;9;0;88463
-66.34326;77.65781;2022-06-26 08:30:19;2022;6;26;8;30;88463
-66.34254;77.65768;2022-06-26 08:00:18;2022;6;26;8;0;88463
-66.34348;77.65792;2022-06-26 07:30:26;2022;6;26;7;30;88463
-66.34332;77.65802;2022-06-26 07:00:18;2022;6;26;7;0;88463
-66.34481;77.65768;2022-06-26 06:30:10;2022;6;26;6;30;88463
-66.34365;77.65782;2022-06-26 06:00:24;2022;6;26;6;0;88463
-66.34346;77.65771;2022-06-26 05:30:09;2022;6;26;5;30;88463
-66.34332;77.65771;2022-06-26 05:00:10;2022;6;26;5;0;88463
-66.34351;77.65792;2022-06-25 23:30:09;2022;6;25;23;30;88463
-66.34342;77.65807;2022-06-25 23:00:19;2022;6;25;23;0;88463
-66.34437;77.65684;2022-06-25 22:30:21;2022;6;25;22;30;88463
-66.34327;77.65804;2022-06-25 22:00:19;2022;6;25;22;0;88463
-66.34319;77.65809;2022-06-25 21:30:10;2022;6;25;21;30;88463
-66.34382;77.65807;2022-06-25 21:00:19;2022;6;25;21;0;88463
-66.34296;77.65786;2022-06-25 20:30:12;2022;6;25;20;30;88463
-66.34299;77.65791;2022-06-25 20:00:09;2022;6;25;20;0;88463
-66.34334;77.65792;2022-06-25 19:30:19;2022;6;25;19;30;88463
-66.34299;77.65783;2022-06-25 19:00:10;2022;6;25;19;0;88463
-66.34303;77.65781;2022-06-25 18:30:09;2022;6;25;18;30;88463
-66.34326;77.65781;2022-06-25 18:00:09;2022;6;25;18;0;88463
-66.3434;77.65781;2022-06-25 17:30:08;2022;6;25;17;30;88463
-66.3438;77.6579;2022-06-25 17:00:06;2022;6;25;17;0;88463
-66.34319;77.65783;2022-06-25 16:30:19;2022;6;25;16;30;88463
-66.34331;77.65791;2022-06-25 16:00:07;2022;6;25;16;0;88463
-66.34309;77.65783;2022-06-25 15:30:08;2022;6;25;15;30;88463
-66.34315;77.65781;2022-06-25 15:00:08;2022;6;25;15;0;88463
-66.34327;77.65783;2022-06-25 14:30:09;2022;6;25;14;30;88463
-66.3433;77.65786;2022-06-25 14:00:09;2022;6;25;14;0;88463
-66.34319;77.65788;2022-06-25 13:30:06;2022;6;25;13;30;88463
-66.34323;77.65786;2022-06-25 13:00:36;2022;6;25;13;0;88463
-66.34323;77.65778;2022-06-25 12:30:07;2022;6;25;12;30;88463
-66.3429;77.65768;2022-06-25 12:00:18;2022;6;25;12;0;88463
-66.34254;77.65763;2022-06-25 11:30:08;2022;6;25;11;30;88463
-66.34254;77.65749;2022-06-25 11:00:19;2022;6;25;11;0;88463
-66.34289;77.6575;2022-06-25 10:30:10;2022;6;25;10;30;88463
-66.34254;77.65768;2022-06-25 10:00:11;2022;6;25;10;0;88463
-66.34161;77.65778;2022-06-25 09:30:07;2022;6;25;9;30;88463
-66.34225;77.65775;2022-06-25 09:00:07;2022;6;25;9;0;88463
-66.34346;77.65788;2022-06-25 08:30:07;2022;6;25;8;30;88463
-66.34338;77.6579;2022-06-25 08:00:08;2022;6;25;8;0;88463
-66.34368;77.65811;2022-06-25 07:30:09;2022;6;25;7;30;88463
-66.343;77.65778;2022-06-25 07:00:09;2022;6;25;7;0;88463
-66.34303;77.65786;2022-06-25 06:30:08;2022;6;25;6;30;88463
-66.34302;77.65786;2022-06-25 06:00:07;2022;6;25;6;0;88463
-66.34303;77.65786;2022-06-25 05:30:36;2022;6;25;5;30;88463
-66.3433;77.65786;2022-06-25 05:00:18;2022;6;25;5;0;88463
-66.33724;77.65933;2022-06-24 23:30:08;2022;6;24;23;30;88463
-66.3367;77.65931;2022-06-24 23:00:08;2022;6;24;23;0;88463
-66.3371;77.65933;2022-06-24 22:30:08;2022;6;24;22;30;88463
-66.33708;77.65931;2022-06-24 22:00:07;2022;6;24;22;0;88463
-66.33656;77.65928;2022-06-24 21:30:07;2022;6;24;21;30;88463
-66.33656;77.65922;2022-06-24 21:00:07;2022;6;24;21;0;88463
-66.33659;77.65922;2022-06-24 20:30:10;2022;6;24;20;30;88463
-66.3367;77.65922;2022-06-24 20:00:09;2022;6;24;20;0;88463
-66.33691;77.65928;2022-06-24 19:30:08;2022;6;24;19;30;88463
-66.33666;77.65929;2022-06-24 19:00:08;2022;6;24;19;0;88463
-66.3367;77.65926;2022-06-24 18:30:36;2022;6;24;18;30;88463
-66.33623;77.65928;2022-06-24 18:00:19;2022;6;24;18;0;88463
-66.33543;77.65909;2022-06-24 17:30:18;2022;6;24;17;30;88463
-66.33548;77.65903;2022-06-24 17:00:18;2022;6;24;17;0;88463
-66.33592;77.65899;2022-06-24 16:30:09;2022;6;24;16;30;88463
-66.33594;77.65893;2022-06-24 16:00:24;2022;6;24;16;0;88463
-66.33695;77.65844;2022-06-24 15:30:18;2022;6;24;15;30;88463
-66.33595;77.65931;2022-06-24 15:00:21;2022;6;24;15;0;88463
-66.33823;77.65832;2022-06-24 14:30:08;2022;6;24;14;30;88463
-66.33372;77.65977;2022-06-24 14:00:11;2022;6;24;14;0;88463
-66.33418;77.65951;2022-06-24 13:30:22;2022;6;24;13;30;88463
-66.33408;77.65936;2022-06-24 13:00:24;2022;6;24;13;0;88463
-66.33614;77.65923;2022-06-24 12:30:07;2022;6;24;12;30;88463
-66.33617;77.65919;2022-06-24 12:00:08;2022;6;24;12;0;88463
-66.33643;77.65926;2022-06-24 11:30:08;2022;6;24;11;30;88463
-66.33636;77.65919;2022-06-24 11:00:08;2022;6;24;11;0;88463
-66.33636;77.65926;2022-06-24 10:30:08;2022;6;24;10;30;88463
-66.33633;77.65926;2022-06-24 10:00:07;2022;6;24;10;0;88463
-66.33643;77.65928;2022-06-24 09:30:36;2022;6;24;9;30;88463
-66.33646;77.65936;2022-06-24 09:00:19;2022;6;24;9;0;88463
-66.33666;77.65933;2022-06-24 08:30:20;2022;6;24;8;30;88463
-66.33638;77.65932;2022-06-24 08:00:07;2022;6;24;8;0;88463
-66.336;77.65942;2022-06-24 07:30:10;2022;6;24;7;30;88463
-66.33632;77.65939;2022-06-24 07:00:08;2022;6;24;7;0;88463
-66.33652;77.65939;2022-06-24 06:30:08;2022;6;24;6;30;88463
-66.33633;77.65926;2022-06-24 06:00:11;2022;6;24;6;0;88463
-66.3364;77.65897;2022-06-24 05:30:11;2022;6;24;5;30;88463
-66.33722;77.65903;2022-06-24 05:00:10;2022;6;24;5;0;88463
-66.33667;77.65939;2022-06-23 23:30:18;2022;6;23;23;30;88463
-66.3362;77.65933;2022-06-23 23:00:18;2022;6;23;23;0;88463
-66.33663;77.65926;2022-06-23 22:30:08;2022;6;23;22;30;88463
-66.33643;77.65928;2022-06-23 22:00:07;2022;6;23;22;0;88463
-66.33628;77.65928;2022-06-23 21:30:09;2022;6;23;21;30;88463
-66.33623;77.65928;2022-06-23 21:00:06;2022;6;23;21;0;88463
-66.33614;77.65926;2022-06-23 20:30:06;2022;6;23;20;30;88463
-66.33657;77.65929;2022-06-23 20:00:06;2022;6;23;20;0;88463
-66.33625;77.65929;2022-06-23 19:30:35;2022;6;23;19;30;88463
-66.33621;77.65922;2022-06-23 19:00:18;2022;6;23;19;0;88463
-66.3361;77.65928;2022-06-23 18:30:06;2022;6;23;18;30;88463
-66.33577;77.65926;2022-06-23 18:00:07;2022;6;23;18;0;88463
-66.33661;77.65922;2022-06-23 17:30:06;2022;6;23;17;30;88463
-66.33621;77.65929;2022-06-23 17:00:06;2022;6;23;17;0;88463
-66.3362;77.65929;2022-06-23 16:30:06;2022;6;23;16;30;88463
-66.33615;77.65931;2022-06-23 16:00:35;2022;6;23;16;0;88463
-66.33728;77.65941;2022-06-23 15:30:09;2022;6;23;15;30;88463
-66.33839;77.65966;2022-06-23 15:00:07;2022;6;23;15;0;88463
-66.33651;77.65933;2022-06-23 14:30:10;2022;6;23;14;30;88463
-66.33638;77.65926;2022-06-23 14:00:09;2022;6;23;14;0;88463
-66.33632;77.65931;2022-06-23 13:30:08;2022;6;23;13;30;88463
-66.33617;77.65931;2022-06-23 13:00:06;2022;6;23;13;0;88463
-66.33615;77.65931;2022-06-23 12:30:36;2022;6;23;12;30;88463
-66.33621;77.65922;2022-06-23 12:00:23;2022;6;23;12;0;88463
